lat,lng
52.315523,14.577875
52.316441,14.588131
52.316677,14.590234
52.317359,14.594097
52.31791,14.595985
52.320638,14.605984
52.323419,14.61637
52.325176,14.623022
52.325806,14.626412
52.32612,14.629158
52.326278,14.63315
52.32612,14.636669
52.325425,14.643878
52.324612,14.652419
52.323996,14.660551
52.324193,14.666709
52.324691,14.671967
52.325543,14.678211
52.326488,14.685721
52.327865,14.696364
52.328796,14.703509
52.329687,14.710311
52.330553,14.717221
52.331392,14.72383
52.332349,14.731233
52.333083,14.737091
52.333896,14.743399
52.334578,14.748806
52.334945,14.75239
52.335181,14.757454
52.335221,14.764106
52.335404,14.775521
52.335417,14.781615
52.33547,14.790627
52.33547,14.797537
52.335417,14.801142
52.334985,14.804983
52.333975,14.81039
52.332651,14.817514
52.331431,14.824316
52.33012,14.830861
52.328809,14.838542
52.328573,14.842255
52.328914,14.847898
52.329451,14.851481
52.330723,14.859163
52.331772,14.865
52.332887,14.871973
52.333582,14.879033
52.334382,14.882831
52.335116,14.888839
52.335142,14.893453
52.334985,14.901671
52.334657,14.907529
52.33425,14.911992
52.334132,14.916284
52.334329,14.921433
52.335208,14.927914
52.336322,14.933814
52.337266,14.939115
52.338459,14.946045
52.338826,14.950573
52.338682,14.955766
52.337948,14.960658
52.336899,14.965293
52.335431,14.970958
52.334382,14.976193
52.333149,14.983017
52.332703,14.99027
52.332625,14.998252
52.332625,15.003316
52.332834,15.013487
52.332834,15.017821
52.332074,15.0231
52.331051,15.029451
52.329661,15.035502
52.326671,15.049922
52.325124,15.059406
52.324783,15.065543
52.325124,15.079233
52.325334,15.095927
52.326173,15.116097
52.326619,15.131676
52.32696,15.14455
52.326383,15.153391
52.32536,15.16236
52.324416,15.174891
52.322737,15.187766
52.319956,15.19283
52.316494,15.199525
52.313162,15.208709
52.31185,15.215747
52.311456,15.219352
52.310905,15.226089
52.310276,15.237419
52.308964,15.244371
52.306209,15.251452
52.302115,15.25686
52.299281,15.260636
52.297916,15.262954
52.296394,15.26746
52.294871,15.275657
52.294609,15.283038
52.294976,15.291492
52.303453,15.319559
52.306392,15.337755
52.31164,15.358011
52.315575,15.375735
52.317779,15.386207
52.319038,15.394446
52.319038,15.404403
52.318723,15.416076
52.318304,15.426547
52.317884,15.435988
52.317464,15.441825
52.316835,15.451953
52.316835,15.461566
52.317359,15.473754
52.318828,15.4868
52.319773,15.4971
52.321032,15.507056
52.322815,15.519587
52.323497,15.527055
52.324022,15.533063
52.324363,15.538084
52.324258,15.54332
52.32376,15.551087
52.322212,15.560657
52.319694,15.57306
52.318776,15.578639
52.316887,15.58881
52.314893,15.59868
52.312007,15.610525
52.308832,15.621769
52.305159,15.634086
52.300619,15.649921
52.299412,15.656316
52.298651,15.663397
52.297837,15.677773
52.297286,15.689704
52.296892,15.703008
