lat,lng
52.325680000000006,17.102430000000002
52.31172,17.14729
52.31036,17.15143
52.309900000000006,17.15407
52.30892000000001,17.158890000000003
52.308350000000004,17.16234
52.30780000000001,17.166520000000002
52.30733000000001,17.17169
52.307140000000004,17.17539
52.30706000000001,17.178710000000002
52.307120000000005,17.18366
52.307300000000005,17.18736
52.30776,17.19274
52.308150000000005,17.1959
52.30926,17.20363
52.30966,17.20726
52.31004,17.212600000000002
52.31017000000001,17.217000000000002
52.30979000000001,17.348860000000002
52.30982,17.354740000000003
52.31006000000001,17.36193
52.31031,17.366300000000003
52.31074,17.371830000000003
52.31127000000001,17.37706
52.31192000000001,17.382270000000002
52.312990000000006,17.38934
52.316750000000006,17.41064
52.317310000000006,17.41429
52.317780000000006,17.417930000000002
52.31828,17.42284
52.318580000000004,17.42651
52.318940000000005,17.43412
52.31899000000001,17.440900000000003
52.31803000000001,17.50446
52.31783000000001,17.51086
52.317420000000006,17.517110000000002
52.31685,17.522730000000003
52.316,17.52898
52.314980000000006,17.534830000000003
52.311730000000004,17.551910000000003
52.31116,17.55524
52.310810000000004,17.55787
52.31053000000001,17.56015
52.31018,17.564510000000002
52.309110000000004,17.58201
52.30883000000001,17.58554
52.308170000000004,17.590780000000002
52.307640000000006,17.594070000000002
52.307100000000005,17.5969
52.29412000000001,17.65362
52.292660000000005,17.65943
52.29144,17.663790000000002
52.289680000000004,17.669410000000003
52.28853,17.67276
52.28708,17.67669
52.27722000000001,17.70118
52.27423,17.70899
52.27228,17.714660000000002
52.270970000000005,17.718950000000003
52.26917,17.72551
52.26834,17.72884
52.267320000000005,17.73339
52.26644,17.737820000000003
52.26549000000001,17.74331
52.26484000000001,17.74774
52.264010000000006,17.75447
52.26203,17.77493
52.261500000000005,17.778740000000003
52.260810000000006,17.78283
52.2573,17.80261
52.255610000000004,17.81163
52.253640000000004,17.82167
52.25216,17.82891
52.249930000000006,17.83933
52.248380000000004,17.846320000000002
52.24593,17.856900000000003
52.24268000000001,17.870230000000003
52.24063,17.87798
52.23921000000001,17.882460000000002
52.236250000000005,17.890710000000002
52.234570000000005,17.8956
52.233430000000006,17.899250000000002
52.23223,17.903550000000003
52.23064,17.910230000000002
52.22688,17.929640000000003
52.224740000000004,17.93946
52.22316000000001,17.94591
52.22164,17.95081
52.22124,17.95232
52.22059,17.955250000000003
52.216950000000004,17.968140000000002
52.21399,17.979740000000003
52.21284000000001,17.984620000000003
52.21128,17.991670000000003
52.206880000000005,18.01328
52.20562,18.01884
52.20423,18.024130000000003
52.203100000000006,18.027890000000003
52.20168,18.03218
52.19809000000001,18.042370000000002
52.196450000000006,18.04768
52.19543,18.05167
52.194860000000006,18.05423
52.192690000000006,18.06578
52.1916,18.07065
52.19012000000001,18.075940000000003
52.18807,18.08218
52.18717,18.0852
52.18524000000001,18.09243
52.18394000000001,18.097630000000002
52.18289000000001,18.10235
52.182170000000006,18.106090000000002
52.181360000000005,18.110870000000002
52.18009000000001,18.119510000000002
52.179030000000004,18.1259
52.178430000000006,18.128970000000002
52.17714,18.13464
52.173500000000004,18.149510000000003
52.17219000000001,18.15512
52.17058,18.16241
52.1687,18.17161
52.166630000000005,18.18278
52.16353,18.201810000000002
52.163160000000005,18.203380000000003
52.16304,18.20416
52.162939,18.206812
52.162939,18.206812
52.162310000000005,18.21027
52.16208,18.21283
52.16181,18.21791
52.16019000000001,18.24114
52.159710000000004,18.24659
52.159380000000006,18.24942
52.15876,18.25365
52.15802000000001,18.25767
52.15713,18.261740000000003
52.1559,18.266360000000002
52.15395,18.272930000000002
52.15173000000001,18.28009
52.15048,18.28517
52.14958000000001,18.289530000000003
52.149150000000006,18.292070000000002
52.148610000000005,18.296120000000002
52.14734000000001,18.307280000000002
52.146950000000004,18.310080000000003
52.146440000000005,18.31313
52.14537000000001,18.31846
52.14269,18.32977
52.14182,18.33405
52.141090000000005,18.33865
52.14076000000001,18.34136
52.14032,18.346480000000003
52.140100000000004,18.35095
52.140080000000005,18.352870000000003
52.14011000000001,18.357650000000003
52.140280000000004,18.36145
52.140820000000005,18.36841
52.14193,18.380010000000002
52.14226000000001,18.38624
52.14267,18.398690000000002
52.14302000000001,18.404130000000002
52.14321,18.40614
52.14392,18.41141
52.144760000000005,18.416240000000002
52.14987000000001,18.441010000000002
52.15075,18.445600000000002
52.15128000000001,18.448990000000002
52.15156,18.450870000000002
52.151880000000006,18.4537
52.152300000000004,18.458060000000003
52.15254,18.462670000000003
52.15260000000001,18.466820000000002
52.15256,18.46956
52.152420000000006,18.47267
52.15207,18.47762
52.15167,18.481430000000003
52.15124,18.48441
52.15059,18.48835
52.14988,18.49181
52.145790000000005,18.50908
52.14444,18.51537
52.14347000000001,18.52063
52.14309,18.52316
52.14244000000001,18.52822
52.141960000000005,18.53312
52.141510000000004,18.54017
52.14139,18.548370000000002
52.141450000000006,18.55309
52.142100000000006,18.5805
52.14209,18.584770000000002
52.141920000000006,18.59131
52.14143000000001,18.599140000000002
52.14083,18.605030000000003
52.14032,18.60919
52.139810000000004,18.612640000000003
52.138960000000004,18.617530000000002
52.13799,18.622320000000002
52.136720000000004,18.62769
52.133660000000006,18.63906
52.132760000000005,18.64264
52.13149000000001,18.64852
52.129560000000005,18.659170000000003
52.128370000000004,18.664800000000003
52.127,18.669980000000002
52.12429,18.67895
52.123270000000005,18.682740000000003
52.12259,18.685740000000003
52.12176,18.69001
52.12122,18.693340000000003
52.120630000000006,18.69782
52.118790000000004,18.71355
52.11795000000001,18.71882
52.11733,18.721970000000002
52.116240000000005,18.72669
52.115520000000004,18.72934
52.11408,18.73386
52.112370000000006,18.738470000000003
52.11102,18.74163
52.10943,18.744880000000002
52.104710000000004,18.753960000000003
52.102700000000006,18.75822
52.10043,18.7637
52.09723,18.772080000000003
52.096090000000004,18.77486
52.094350000000006,18.778640000000003
52.092470000000006,18.782210000000003
52.09120000000001,18.7844
52.0889,18.78789
52.08715,18.790280000000003
52.0816,18.797030000000003
52.07938000000001,18.79989
52.07733,18.80284
52.07538,18.80592
52.073750000000004,18.8088
52.07206000000001,18.81199
52.068360000000006,18.81982
52.06680000000001,18.82291
52.06575,18.824900000000003
52.06392,18.82806
52.062000000000005,18.83104
52.05913,18.8353
52.051010000000005,18.847150000000003
52.04643,18.853990000000003
52.043980000000005,18.857850000000003
52.04262000000001,18.86015
52.04046,18.86417
52.03909,18.86702
52.037850000000006,18.86982
52.036170000000006,18.874010000000002
52.03488,18.877670000000002
52.03372,18.881300000000003
52.03237000000001,18.88615
52.03154000000001,18.88945
52.0275,18.909090000000003
52.026390000000006,18.91395
52.02561000000001,18.91692
52.02478000000001,18.91972
52.017540000000004,18.94133
52.016160000000006,18.945780000000003
52.01549000000001,18.948140000000002
52.014920000000004,18.95052
52.012260000000005,18.96292
52.011030000000005,18.967840000000002
52.009600000000006,18.972550000000002
52.00600000000001,18.98278
52.004220000000004,18.98808
52.002860000000005,18.992610000000003
52.00155,18.99762
52.000310000000006,19.003110000000003
51.99929,19.008830000000003
51.998650000000005,19.013060000000003
51.996210000000005,19.03096
51.9958,19.03337
51.994640000000004,19.0392
51.993320000000004,19.04446
51.99242,19.04736
51.99125,19.050790000000003
51.989990000000006,19.05403
51.988530000000004,19.057440000000003
51.9868,19.061
51.98453000000001,19.06513
51.979780000000005,19.0732
51.976470000000006,19.079220000000003
51.97379,19.084880000000002
51.971650000000004,19.09017
51.96952,19.09653
51.96645,19.10726
51.96452000000001,19.113380000000003
51.96303,19.11731
51.959790000000005,19.12516
51.95843000000001,19.128610000000002
51.956880000000005,19.133080000000003
51.956,19.136080000000003
51.954840000000004,19.14057
51.95239,19.152410000000003
51.95107,19.15794
51.94953,19.16319
51.944880000000005,19.17685
51.94371,19.180850000000003
51.942660000000004,19.184880000000003
51.94154,19.190260000000002
51.94075,19.19506
51.94037,19.198230000000002
51.939960000000006,19.20315
51.939690000000006,19.21029
51.93972,19.22663
51.939460000000004,19.23338
51.938900000000004,19.239330000000002
51.937760000000004,19.247860000000003
51.93565,19.26266
51.934850000000004,19.267660000000003
51.93392000000001,19.2724
51.93074000000001,19.28674
51.930150000000005,19.28969
51.92943,19.294220000000003
51.92904000000001,19.29737
51.92871,19.30075
51.9279,19.31325
51.92737,19.31847
51.926970000000004,19.32147
51.92631,19.325370000000003
51.924870000000006,19.33254
51.92378,19.338600000000003
51.92306000000001,19.343410000000002
51.92203000000001,19.35162
51.92146,19.35903
51.921150000000004,19.366010000000003
51.92107000000001,19.37111
51.92114,19.381040000000002
51.9211,19.38567
51.92092,19.39112
51.92071000000001,19.394620000000003
51.92027,19.39949
51.9196,19.404690000000002
51.91864,19.41037
51.91762000000001,19.41535
51.916290000000004,19.420740000000002
51.914910000000006,19.42549
51.91274000000001,19.43177
51.904830000000004,19.451430000000002
51.903620000000004,19.45466
51.90267000000001,19.45749
51.90126000000001,19.462310000000002
51.90014000000001,19.46702
51.899170000000005,19.47247
51.898700000000005,19.47559
51.8982,19.480300000000003
51.89786,19.48543
51.897780000000004,19.49096
51.898230000000005,19.50843
51.89818,19.51659
51.897870000000005,19.52307
51.89748,19.527910000000002
51.89712,19.53152
51.896280000000004,19.537850000000002
51.89479000000001,19.546680000000002
51.89014,19.57158
51.88947,19.57589
51.889120000000005,19.578670000000002
51.88866,19.583640000000003
